;Libellé;Budget 2012 avec budget supplémentaire SAIP mai 2012;Réalisé 2012;Budget 2013;Réalisé 2013;Budget 2014;Réalisé 2014;Budget 2015;Réalisé 2015;Budget 2016;Réalisé 2016;Budget 2017;Réalisé 2017
20;IMMOBILISATIONS INCORPORELLES;2 700 500;1 888 965;2 076 800;1 671 378;2 245 000;2 426 600;2 117 800;2 685 340;2 475 000;2 148 186;2 464 800;2 458 721
205/235;LOGICIELS;2 700 500;1 888 965;2 076 800;1 671 378;2 245 000;2 426 600;2 117 800;2 685 340;2 475 000;2 148 186;2 464 800;2 458 721
2051/2351;Logiciels;2 697 500;1 888 965;2 076 800;1 671 378;2 245 000;2 426 600;2 117 800;2 685 340;2 475 000;2 148 186;2 464 800;2 458 721
2054;Logiciels information-multimédia;3 000;0;0;0;0;0;0;0;0;0;0;0
21/23;IMMOBILISATIONS CORPORELLES;20 013 064;19 703 115;12 916 300;10 636 626;14 142 800;11 667 820;12 863 000;14 508 940;13 269 900;15 890 860;31 149 500;29 720 540
213/233;CONSTRUCTIONS;13 929 069;15 232 099;8 870 000;7 987 861;10 640 000;8 372 740;9 178 000;10 049 720;9 737 900;12 228 759;25 222 500;24 383 947
2131/2331;Gros œuvre;2 280 000;1 991 932;790 000;1 534 580;2 395 000;1 598 026;2 225 000;2 203 347;2 322 400;1 439 384;11 604 000;11 284 902
2135/2335;Installations générales;6 361 000;9 555 258;6 280 000;4 453 484;5 585 000;4 226 107;5 141 500;5 158 813;5 510 000;7 321 296;9 277 500;9 470 399
2136/2336;Agencement et aménagement des constructions;5 238 069;3 684 908;1 750 000;1 999 797;2 630 000;2 524 466;1 781 500;2 669 679;1 375 500;2 949 287;3 781 000;3 623 260
2137/2337;Installations téléphoniques;50 000;0;50 000;0;30 000;24 142;30 000;17 880;530 000;518 791;560 000;5 385
215/231;MATÉRIEL ET OUTILLAGE;221 900;152 971;264 300;119 415;423 000;179 843;415 000;271 836;215 000;111 473;175 000;108 853
2151;Matériel et outillage du service des Affaires immobilières et du patrimoine;36 600;36 337;30 000;0;35 000;8 669;35 000;4 986;35 000;0;15 000;0
2152;Matériel du service de la Logistique parlementaire;170 000;104 948;220 000;96 474;365 000;160 823;365 000;253 253;165 000;102 924;145 000;95 029
2153/2315;Matériel du laboratoire photo-vidéo;5 300;5 099;4 300;22 941;13 000;8 507;5 000;4 484;5 000;4 996;5 000;13 825
2154;Matériel médical, soins et prévention;10 000;6 587;10 000;0;10 000;1 844;10 000;9 114;10 000;3 552;10 000;0
216/236;COLLECTIONS;100 000;232 629;105 000;68 150;160 000;214 286;140 000;144 778;110 000;71 728;140 000;40 408
2161/2361;Œuvres d'art;0;0;0;0;60 000;69 333;50 000;54 312;50 000;42 538;50 000;10 312
2162;Meubles de style;50 000;185 384;50 000;30 238;50 000;79 840;50 000;68 354;50 000;0;80 000;2 087
2163;Livres, manuscrits et objets anciens;10 000;0;10 000;1 116;5 000;27 970;5 000;22 112;10 000;29 190;10 000;28 009
2164;Autres livres de la Bibliothèque;40 000;47 245;45 000;36 795;45 000;37 143;35 000;0;0;0;0;0
218/238;AUTRES IMMOBILISATIONS;5 412 095;3 886 919;2 487 000;2 379 445;2 459 800;2 600 163;2 528 000;3 586 914;2 559 000;2 389 787;4 776 000;4 207 568
2182;Matériel de transport;224 000;219 611;225 000;212 840;190 000;189 349;170 000;160 283;189 000;204 190;183 000;180 567
2183;Matériel de bureau;375 000;239 004;325 000;196 205;320 000;41 408;315 000;241 944;400 000;77 436;260 000;141 711
2184/2384;Mobiliers;775 000;798 680;700 000;256 996;350 000;436 428;300 000;349 562;350 000;244 783;1 030 000;696 822
2185;Appareils électriques;1 851 400;123 169;420 000;111 595;125 000;195 640;103 000;577 450;200 000;198 051;478 000;106 392
2186;Bureautique des groupes;250 000;426 172;170 000;54 206;150 000;179 374;150 000;0;0;0;0;0
2187;Matériel information-multimédia;4 000;593;4 000;414;0;0;0;0;0;0;0;0
2188;Matériel informatique;1 932 695;2 079 691;643 000;1 547 188;1 324 800;1 440 143;1 490 000;1 680 015;1 420 000;1 605 408;2 790 000;3 060 548
2388;Avances et acomptes versés sur autres immobilisations / Matériel informatique en cours;0;0;0;0;0;117 820;0;577 661;0;59 919;35 000;21 528
